id_venta,fecha,ciudad,medio_pago,categoria,nombre_producto,cantidad,precio_unitario,importe
1,2024-06-19,Carlos Paz,tarjeta,Limpieza,Toallas Húmedas x50,1,2.07,2.07
2,2024-03-17,Rio Cuarto,qr,Limpieza,Aceitunas Negras 200g,5,1.7,8.52
2,2024-03-17,Rio Cuarto,qr,Alimentos,Helado Vainilla 1L,5,0.33,1.67
2,2024-03-17,Rio Cuarto,qr,Limpieza,Fernet 750ml,2,2.89,5.78
2,2024-03-17,Rio Cuarto,qr,Limpieza,Medialunas de Manteca,1,1.47,1.47
2,2024-03-17,Rio Cuarto,qr,Alimentos,Hamburguesas Congeladas x4,4,1.72,6.89
3,2024-01-13,Rio Cuarto,tarjeta,Alimentos,Yerba Mate Suave 1kg,2,2.76,5.52
3,2024-01-13,Rio Cuarto,tarjeta,Limpieza,Pepsi 1.5L,2,3.54,7.08
3,2024-01-13,Rio Cuarto,tarjeta,Alimentos,Jugo en Polvo Naranja,1,1.32,1.32
4,2024-02-27,Mendiolaza,transferencia,Limpieza,Fanta Naranja 1.5L,2,1.45,2.89
4,2024-02-27,Mendiolaza,transferencia,Alimentos,Bizcochos Salados,5,1.69,8.47
5,2024-06-11,Rio Cuarto,tarjeta,Limpieza,Jugo en Polvo Limón,4,2.91,11.64
6,2024-05-05,Mendiolaza,transferencia,Alimentos,Galletitas Vainilla,2,2.86,5.72
6,2024-05-05,Mendiolaza,transferencia,Alimentos,Mix de Frutos Secos 200g,3,2.43,7.28
6,2024-05-05,Mendiolaza,transferencia,Alimentos,Queso Untable 190g,1,1.3,1.3
6,2024-05-05,Mendiolaza,transferencia,Alimentos,Chicle Menta,4,2.57,10.28
7,2024-05-06,Alta Gracia,efectivo,Alimentos,Granola 250g,3,3.09,9.26
8,2024-01-06,Villa Maria,transferencia,Alimentos,Lavandina 1L,5,1.18,5.92
8,2024-01-06,Villa Maria,transferencia,Limpieza,Queso Rallado 150g,4,2.45,9.8
8,2024-01-06,Villa Maria,transferencia,Limpieza,Vino Blanco 750ml,5,1.91,9.55
9,2024-01-20,Cordoba,efectivo,Alimentos,Cerveza Rubia 1L,4,1.72,6.9
10,2024-05-28,Rio Cuarto,qr,Limpieza,Dulce de Leche 400g,2,1.82,3.64
10,2024-05-28,Rio Cuarto,qr,Limpieza,Trapo de Piso,4,3.45,13.82
